Termino,Repeticiones,Libro_Origen,Palabra,Num_Libros_Con_Termino,Es_Global,TFIDF_like,Saga,Mundo,Orden_Publicacion,Anio_Publicacion
Jasnah,408,El Ritmo de la Guerra,Jasnah,4,true,511.12729114611017,El Archivo de las Tormentas,Roshar,4,2020
Teft,404,El camino de los reyes,Teft,5,true,415.9662445411879,El Archivo de las Tormentas,Roshar,1,2010
Luz tormentosa,404,Juramentada,Luz tormentosa,5,true,415.9662445411879,El Archivo de las Tormentas,Roshar,3,2017
Aliento,402,El aliento de los dioses,Aliento,13,true,29.791404805796176,El aliento de los dioses,Nalthis,1,2009
Odium,389,El Ritmo de la Guerra,Odium,5,true,400.5219532834705,El Archivo de las Tormentas,Roshar,4,2020
Dockson,386,El Imperio Final,Dockson,3,true,594.6117858055995,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Lopen,385,TOTAL,Lopen,5,true,,,,,
Eshonai,380,El Ritmo de la Guerra,Eshonai,4,true,476.04992802823983,El Archivo de las Tormentas,Roshar,4,2020
Rlain,375,El Ritmo de la Guerra,Rlain,3,true,577.666890355181,El Archivo de las Tormentas,Roshar,4,2020
Sigzil,366,TOTAL,Sigzil,4,true,,,,,
Teft,365,El Ritmo de la Guerra,Teft,5,true,375.8110872711227,El Archivo de las Tormentas,Roshar,4,2020
Gaz,365,TOTAL,Gaz,4,true,,,,,
Steris,361,El metal perdido,Steris,4,true,452.24743162682785,Nacidos de la Bruma (Era 2),Scadrial,4,2022
TenSoon,352,El Heroe de las Eras,TenSoon,6,true,298.2488468562957,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Mraize,352,TOTAL,Mraize,3,true,,,,,
Taravangian,347,El Ritmo de la Guerra,Taravangian,4,true,434.7087500678927,El Archivo de las Tormentas,Roshar,4,2020
Sadeas,345,Palabras radiantes,Sadeas,4,true,432.20322413090196,El Archivo de las Tormentas,Roshar,2,2014
Syl,341,Juramentada,Syl,5,true,351.1002212587749,El Archivo de las Tormentas,Roshar,3,2017
Marasi,334,Aleacion de Ley,Marasi,4,true,418.4228314774529,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Moash,332,Palabras radiantes,Moash,4,true,415.91730554046217,El Archivo de las Tormentas,Roshar,2,2014
Navani,330,Palabras radiantes,Navani,4,true,413.4117796034715,El Archivo de las Tormentas,Roshar,2,2014
Szeth,329,El camino de los reyes,Szeth,5,true,338.74478825260104,El Archivo de las Tormentas,Roshar,1,2010
Lirin,320,El Ritmo de la Guerra,Lirin,4,true,400.8841499185178,El Archivo de las Tormentas,Roshar,4,2020
Wax,310,Aleacion de Ley,Wax,4,true,388.3565202335641,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Amaram,307,Palabras radiantes,Amaram,4,true,384.598231328078,El Archivo de las Tormentas,Roshar,2,2014
Honor,300,TOTAL,Honor,6,true,,,,,
Syl,299,Palabras radiantes,Syl,5,true,307.8562057371663,El Archivo de las Tormentas,Roshar,2,2014
Kelsier,298,El Heroe de las Eras,Kelsier,7,true,206.5578598068637,Nacidos de la Bruma (Era 1),Scadrial,3,2008
